abate;abates;is abateing:V
retread;retreads;is retreadding:V
retreat;retreats;is retreatting:V
retrench;retrenchs;is retrenching:V
retrieve;retrieves;is retrieveing:V
retrofit;retrofits;is retrofitting:V
retrospect;retrospects;is retrospectting:V
retry;retrys;is retrying:V
rettore;rettores;is rettoreing:V
rettorn;rettorns;is rettornning:V
retwine;retwines;is retwineing:V
retwist;retwists;is retwistting:V
ret;rets;is retting:V
reunify;reunifys;is reunifying:V
reunite;reunites;is reuniteing:V
reuse;reuses;is reuseing:V
revalue;revalues;is revalueing:V
revaporize;revaporizes;is revaporizeing:V
revel;revels;is revelling:V
reverse;reverses;is reverseing:V
revert;reverts;is revertting:V
revest;revests;is revestting:V
revet;revets;is revetting:V
revibrate;revibrates;is revibrateing:V
revictual;revictuals;is revictualling:V
review;reviews;is reviewing:V
revile;reviles;is revileing:V
revisit;revisits;is revisitting:V
revisualize;revisualizes;is revisualizeing:V
revive;revives;is reviveing:V
revivify;revivifys;is revivifying:V
revolve;revolves;is revolveing:V
revote;revotes;is revoteing:V
revoyage;revoyages;is revoyageing:V
rev;revs;is reving:V
rewager;rewagers;is rewagering:V
rewaken;rewakens;is rewakenning:V
rewake;rewakes;is rewakeing:V
rewarm;rewarms;is rewarmming:V
rewash;rewashs;is rewashing:V
rewater;rewaters;is rewatering:V
rewax;rewaxs;is rewaxing:V
reweaken;reweakens;is reweakenning:V
rewear;rewears;is rewearing:V
reweave;reweaves;is reweaveing:V
reweigh;reweighs;is reweighing:V
reweld;rewelds;is reweldding:V
rewet;rewets;is rewetting:V
rewiden;rewidens;is rewidenning:V
rewind;rewinds;is rewindding:V
rewrap;rewraps;is rewraping:V
rewrite;rewrites;is rewriteing:V
rewritten;rewrittens;is rewrittenning:V
rewrote;rewrotes;is rewroteing:V
rewwore;rewwores;is rewworeing:V
rewwove;rewwoves;is rewwoveing:V
rhapsodize;rhapsodizes;is rhapsodizeing:V
rhubarb;rhubarbs;is rhubarbing:V
rhyme;rhymes;is rhymeing:V
rib;ribs;is ribing:V
ricochet;ricochets;is ricochetting:V
ridden;riddens;is riddenning:V
riddle;riddles;is riddleing:V
ride;rides;is rideing:V
ridge;ridges;is ridgeing:V
rid;rids;is ridding:V
riffle;riffles;is riffleing:V
rift;rifts;is riftting:V
rig down;rig downs;is rig downning:V
right;rights;is rightting:V
rigidify;rigidifys;is rigidifying:V
rig;rigs;is riging:V
rim;rims;is rimming:V
ring back;ring backs;is ring backing:V
ring in;ring ins;is ring inning:V
ring out;ring outs;is ring outting:V
ring up;ring ups;is ring uping:V
ripen;ripens;is ripenning:V
rip;rips;is riping:V
risen;risens;is risenning:V
rise;rises;is riseing:V
rival;rivals;is rivalling:V
riven;rivens;is rivenning:V
rive;rives;is riveing:V
road test;road tests;is road testting:V
roam;roams;is roamming:V
roar;roars;is roaring:V
roast;roasts;is roastting:V
robe;robes;is robeing:V
rob;robs;is robing:V
rock;rocks;is rocking:V
rode;rodes;is rodeing:V
roger;rogers;is rogering:V
roll in;roll ins;is roll inning:V
roll on;roll ons;is roll onning:V
roll up;roll ups;is roll uping:V
roller skate;roller skates;is roller skateing:V
roll;rolls;is rollling:V
romance;romances;is romanceing:V
Roneo;Roneos;is Roneoing:V
roquet;roquets;is roquetting:V
rose;roses;is roseing:V
rotate;rotates;is rotateing:V
rot;rots;is rotting:V
rough-dry;rough-drys;is rough-drying:V
rough-hew;rough-hews;is rough-hewing:V
roughcast;roughcasts;is roughcastting:V
roughen;roughens;is roughenning:V
roughhouse;roughhouses;is roughhouseing:V
roundup;roundups;is rounduping:V
round;rounds;is roundding:V
rouse;rouses;is rouseing:V
routemarch;routemarchs;is routemarching:V
rout;routs;is routting:V
rove;roves;is roveing:V
rowel;rowels;is rowelling:V
row;rows;is rowing:V
rub down;rub downs;is rub downning:V
rub off;rub offs;is rub offing:V
rub up;rub ups;is rub uping:V
rubber stamp;rubber stamps;is rubber stamping:V
rub;rubs;is rubing:V
ruck;rucks;is rucking:V
ruddle;ruddles;is ruddleing:V
rue;rues;is rueing:V
ruffle;ruffles;is ruffleing:V
rule;rules;is ruleing:V
rumble;rumbles;is rumbleing:V
ruminate;ruminates;is ruminateing:V
rummage;rummages;is rummageing:V
rumple;rumples;is rumpleing:V
run down;run downs;is run downning:V
run into;run intos;is run intoing:V
run in;run ins;is run inning:V
run off;run offs;is run offing:V
run on;run ons;is run onning:V
run out;run outs;is run outting:V
runabout;runabouts;is runaboutting:V
rung;rungs;is runging:V
run;runs;is running:V
rupture;ruptures;is ruptureing:V
rush;rushs;is rushing:V
Russianize;Russianizes;is Russianizeing:V
rusticate;rusticates;is rusticateing:V
rustle;rustles;is rustleing:V
rust;rusts;is rustting:V
rut;ruts;is rutting:V
rwound;rwounds;is rwoundding:V
saber;sabers;is sabering:V
sacrifice;sacrifices;is sacrificeing:V
sadden;saddens;is saddenning:V
saddle;saddles;is saddleing:V
sag;sags;is saging:V
said;saids;is saidding:V
sail;sails;is sailling:V
saith;saiths;is saithing:V
salaam;salaams;is salaamming:V
salary;salarys;is salarying:V
salify;salifys;is salifying:V
sally;sallys;is sallying:V
salt out;salt outs;is salt outting:V
salve;salves;is salveing:V
samba;sambas;is sambaing:V
sanctify;sanctifys;is sanctifying:V
sand-cast;sand-casts;is sand-castting:V
sandbag;sandbags;is sandbaging:V
sang;sangs;is sanging:V
sank;sanks;is sanking:V
saponify;saponifys;is saponifying:V
sap;saps;is saping:V
sate;sates;is sateing:V
satirize;satirizes;is satirizeing:V
satisfy;satisfys;is satisfying:V
saturate;saturates;is saturateing:V
sat;sats;is satting:V
saut;sauts;is sautting:V
savvy;savvys;is savvying:V
sawn;sawns;is sawnning:V
saw;saws;is sawing:V
say;says;is saying:V
scag;scags;is scaging:V
scald;scalds;is scaldding:V
scale;scales;is scaleing:V
scamp;scamps;is scamping:V
scan;scans;is scanning:V
scape;scapes;is scapeing:V
scare;scares;is scareing:V
scarify;scarifys;is scarifying:V
scart;scarts;is scartting:V
scar;scars;is scaring:V
scat;scats;is scatting:V
scavenge;scavenges;is scavengeing:V
scend;scends;is scendding:V
schlep;schleps;is schleping:V
scintillate;scintillates;is scintillateing:V
scissor;scissors;is scissoring:V
sclaff;sclaffs;is sclaffing:V
scoff;scoffs;is scoffing:V
scold;scolds;is scoldding:V
scollop;scollops;is scolloping:V
scoop;scoops;is scooping:V
scoot;scoots;is scootting:V
scorch;scorchs;is scorching:V
score;scores;is scoreing:V
scorify;scorifys;is scorifying:V
scorn;scorns;is scornning:V
scour;scours;is scouring:V
scout;scouts;is scoutting:V
scrag;scrags;is scraging:V
scram;scrams;is scramming:V
scrape through;scrape throughs;is scrape throughing:V
scrape;scrapes;is scrapeing:V
scrap;scraps;is scraping:V
scratch;scratchs;is scratching:V
scrawl;scrawls;is scrawlling:V
scream;screams;is screamming:V
screech;screechs;is screeching:V
Scriabin;Scriabins;is Scriabinning:V
scribe;scribes;is scribeing:V
scrimp;scrimps;is scrimping:V
scrimshaw;scrimshaws;is scrimshawing:V
scrounge;scrounges;is scroungeing:V
scrub;scrubs;is scrubing:V
scrummage;scrummages;is scrummageing:V
scrump;scrumps;is scrumping:V
scrum;scrums;is scrumming:V
scrunch;scrunchs;is scrunching:V
scruple;scruples;is scrupleing:V
scry;scrys;is scrying:V
scud;scuds;is scudding:V
scuff;scuffs;is scuffing:V
scull;sculls;is scullling:V
sculpsit;sculpsits;is sculpsitting:V
sculpture;sculptures;is sculptureing:V
sculpt;sculpts;is sculptting:V
scumble;scumbles;is scumbleing:V
scum;scums;is scumming:V
scunge;scunges;is scungeing:V
scurries;scurriess;is scurriesing:V
scurry;scurrys;is scurrying:V
scutter;scutters;is scuttering:V
seals;sealss;is sealsing:V
search;searchs;is searching:V
second-guess;second-guesss;is second-guessing:V
secrete;secretes;is secreteing:V
seek;seeks;is seeking:V
seem;seems;is seemming:V
seen;seens;is seenning:V
see;sees;is seeing:V
segment;segments;is segmentting:V
segregate;segregates;is segregateing:V
segue;segues;is segueing:V
seine;seines;is seineing:V
seise;seises;is seiseing:V
seize;seizes;is seizeing:V
select;selects;is selectting:V
sell out;sell outs;is sell outting:V
sell up;sells up;is selling up:V
sell;sells;is sellling:V
semaphore;semaphores;is semaphoring:V
sendoff;sendoffs;is sendoffing:V
send;sends;is sending:V
sensitize;sensitizes;is sensitizeing:V
sentimentalize;sentimentalizes;is sentimentalizeing:V
separate;separates;is separateing:V
sere;seres;is sereing:V
sermonize;sermonizes;is sermonizeing:V
serrate;serrates;is serrateing:V
serve;serves;is serveing:V
set forth;set forths;is set forthing:V
set off;set offs;is set offing:V
set on;set ons;is set onning:V
set out;set outs;is set outting:V
set up;set ups;is set uping:V
settle down;settle downs;is settle downning:V
settle in;settle ins;is settle inning:V
settle with;settle withs;is settle withing:V
set;sets;is setting:V
sever;severs;is severing:V
sewn;sewns;is sewnning:V
sew;sews;is sewing:V
sextuplicate;sextuplicates;is sextuplicateing:V
shack;shacks;is shacking:V
shade;shades;is shadeing:V
shaft;shafts;is shaftting:V
shag;shags;is shaging:V
shake down;shake downs;is shake downning:V
shake off;shake offs;is shake offing:V
shaken;shakens;is shakenning:V
shake;shakes;is shakeing:V
shallow;shallows;is shallowing:V
shall;shalls;is shallling:V
shalt;shalts;is shaltting:V
shampoo;shampoos;is shampooing:V
sham;shams;is shamming:V
shanghai;shanghais;is shanghaiing:V
shape;shapes;is shapeing:V
sharecrop;sharecrops;is sharecroping:V
shark;sharks;is sharking:V
sharpen;sharpens;is sharpenning:V
shatter;shatters;is shattering:V
shave;shaves;is shaveing:V
shear;shears;is shearing:V
sheer;sheers;is sheering:V
shell out;shell outs;is shell outting:V
shell;shells;is shellling:V
shend;shends;is shendding:V
sherardize;sherardizes;is sherardizeing:V
shew;shews;is shewing:V
shies;shiess;is shiesing:V
shift;shifts;is shiftting:V
shikar;shikars;is shikaring:V
shilly-shallies;shilly-shalliess;is shilly-shalliesing:V
shillyshally;shillyshallys;is shillyshallying:V
shimmy;shimmys;is shimmying:V
shim;shims;is shimming:V
shine;shines;is shineing:V
shinty;shintys;is shintying:V
shin;shins;is shinning:V
ship out;ship outs;is ship outting:V
ship;ships;is shiping:V
shirk;shirks;is shirking:V
shirr;shirrs;is shirring:V
shit;shits;is shitting:V
shiver;shivers;is shivering:V
shoal;shoals;is shoalling:V
shock;shocks;is shocking:V
shodden;shoddens;is shoddenning:V
shod;shods;is shodding:V
shoe;shoes;is shoeing:V
shone;shones;is shoneing:V
shook;shooks;is shooking:V
shoot up;shoot ups;is shoot uping:V
shoot;shoots;is shootting:V
shoo;shoos;is shooing:V
shop;shops;is shoping:V
shore;shores;is shoreing:V
shorn;shorns;is shornning:V
short circuit;short circuits;is short circuitting:V
short cut;short cuts;is short cutting:V
shorten;shortens;is shortenning:V
short;shorts;is shortting:V
shotgun;shotguns;is shotgunning:V
shot;shots;is shotting:V
shouldst;shouldsts;is shouldstting:V
should;shoulds;is shouldding:V
shout;shouts;is shoutting:V
shovel;shovels;is shovelling:V
shove;shoves;is shoveing:V
show off;show offs;is show offing:V
show up;show ups;is show uping:V
shown;showns;is shownning:V
show;shows;is showing:V
shrank;shranks;is shranking:V
shriek;shrieks;is shrieking:V
shrill;shrills;is shrillling:V
shrine;shrines;is shrineing:V
shrink-wrap;shrink-wraps;is shrink-wraping:V
shrink;shrinks;is shrinking:V
shrivel;shrivels;is shrivelling:V
shrive;shrives;is shriveing:V
shrove;shroves;is shroveing:V
shrug;shrugs;is shruging:V
shrunken;shrunkens;is shrunkenning:V
shrunk;shrunks;is shrunking:V
shuffle;shuffles;is shuffleing:V
shunt;shunts;is shuntting:V
shun;shuns;is shunning:V
shush;shushs;is shushing:V
shut up;shut ups;is shut uping:V
shut-off;shut-offs;is shut-offing:V
shutdown;shutdowns;is shutdownning:V
shutout;shutouts;is shutoutting:V
shuttlecock;shuttlecocks;is shuttlecocking:V
shuttle;shuttles;is shuttleing:V
shut;shuts;is shutting:V
shy;shys;is shying:V
sibilate;sibilates;is sibilateing:V
sicken;sickens;is sickenning:V
sick;sicks;is sicking:V
sic;sics;is sicing:V
sideslip;sideslips;is sidesliping:V
sidestep;sidesteps;is sidesteping:V
sideswipe;sideswipes;is sideswipeing:V
sidetrack;sidetracks;is sidetracking:V
sieve;sieves;is sieveing:V
sight-read;sight-reads;is sight-readding:V
sightsee;sightsees;is sightseeing:V
sign in;sign ins;is sign inning:V
sign off;sign offs;is sign offing:V
sign on;sign ons;is sign onning:V
sign out;sign outs;is sign outting:V
sign up;sign ups;is sign uping:V
signal;signals;is signalling:V
signa;signas;is signaing:V
signetur;signeturs;is signeturing:V
signify;signifys;is signifying:V
sign;signs;is signning:V
sile;siles;is sileing:V
silicify;silicifys;is silicifying:V
silt;silts;is siltting:V
silver plate;silver plates;is silver plateing:V
simmer down;simmer downs;is simmer downning:V
simmer;simmers;is simmering:V
simplify;simplifys;is simplifying:V
simulate;simulates;is simulateing:V
singe;singes;is singeing:V
single-foot;single-foots;is single-footting:V
single-step;single-steps;is single-steping:V
single-tongue;single-tongues;is single-tongueing:V
sink;sinks;is sinking:V
siphon;siphons;is siphonning:V
sip;sips;is siping:V
sit down;sit downs;is sit downning:V
sit out;sit outs;is sit outting:V
sit up;sit ups;is sit uping:V
sit-in;sit-ins;is sit-inning:V
sitten;sittens;is sittenning:V
sit;sits;is sitting:V
size up;size ups;is size uping:V
size;sizes;is sizeing:V
skelly;skellys;is skellying:V
sken;skens;is skenning:V
sketch;sketchs;is sketching:V
sket;skets;is sketting:V
skew;skews;is skewing:V
skid;skids;is skidding:V
skimp;skimps;is skimping:V
skim;skims;is skimming:V
skin-pop;skin-pops;is skin-poping:V
skinny-dip;skinny-dips;is skinny-diping:V
skin;skins;is skinning:V
skipper;skippers;is skippering:V
skip;skips;is skiping:V
skirl;skirls;is skirlling:V
skive;skives;is skiveing:V
skivvy;skivvys;is skivvying:V
ski;skis;is skiing:V
skydive;skydives;is skydiveing:V
skywritten;skywrittens;is skywrittenning:V
skywrote;skywrotes;is skywroteing:V
sky;skys;is skying:V
slabber;slabbers;is slabbering:V
slab;slabs;is slabing:V
slacken;slackens;is slackenning:V
slack;slacks;is slacking:V
slag;slags;is slaging:V
slain;slains;is slainning:V
slam;slams;is slamming:V
slander;slanders;is slandering:V
slang;slangs;is slanging:V
slank;slanks;is slanking:V
slant;slants;is slantting:V
slap;slaps;is slaping:V
slat;slats;is slatting:V
slay;slays;is slaying:V
sleave;sleaves;is sleaveing:V
sledge;sledges;is sledgeing:V
sleep;sleeps;is sleeping:V
slenderize;slenderizes;is slenderizeing:V
slept;slepts;is sleptting:V
slew;slews;is slewing:V
slice;slices;is sliceing:V
slidden;sliddens;is sliddenning:V
slide;slides;is slideing:V
slid;slids;is slidding:V
slimmest;slimmests;is slimmestting:V
slim;slims;is slimming:V
slink;slinks;is slinking:V
slipsheet;slipsheets;is slipsheetting:V
slipstream;slipstreams;is slipstreamming:V
slip;slips;is sliping:V
slither;slithers;is slithering:V
slit;slits;is slitting:V
sliver;slivers;is slivering:V
slobber;slobbers;is slobbering:V
slog;slogs;is sloging:V
slope;slopes;is slopeing:V
slop;slops;is slopping:V
slot;slots;is slotting:V
slough;sloughs;is sloughing:V
slow;slows;is slowing:V
slub;slubs;is slubbing:V
slue;slues;is sluing:V
sluff;sluffs;is sluffing:V
slug;slugs;is sluging:V
slum;slums;is slumming:V
slunk;slunks;is slunking:V
slurp;slurps;is slurping:V
slur;slurs;is sluring:V
smarten;smartens;is smartening:V
smart;smarts;is smarting:V
smash-up;smash-ups;is smash-uping:V
smash;smashs;is smashing:V
smear;smears;is smearing:V
smell;smells;is smelling:V
smelt;smelts;is smelting:V
smite;smites;is smiting:V
smock;smocks;is smocking:V
smolder;smolders;is smoldering:V
smoodge;smoodges;is smoodging:V
smoothen;smoothens;is smoothening:V
smooth;smooths;is smoothing:V
smote;smotes;is smoting:V
smother;smothers;is smothering:V
smudge;smudges;is smudging:V
smuggle;smuggles;is smuggling:V
smut;smuts;is smutting:V
snafu;snafus;is snafuing:V
snag;snags;is snagging:V
snap;snaps;is snapping:V
snarl;snarls;is snarling:V
sneck;snecks;is snecking:V
snicker;snickers;is snickering:V
sniff;sniffs;is sniffing:V
snipe;snipes;is snipeing:V
snip;snips;is sniping:V
snivel;snivels;is snivelling:V
snog;snogs;is snoging:V
snowshoe;snowshoes;is snowshoeing:V
snub;snubs;is snubing:V
snuck;snucks;is snucking:V
snuggest;snuggests;is snuggestting:V
snuggle;snuggles;is snuggleing:V
snug;snugs;is snuging:V
soak;soaks;is soaking:V
sober;sobers;is sobering:V
sob;sobs;is sobing:V
sock;socks;is socking:V
sodden;soddens;is soddenning:V
sod;sods;is sodding:V
soft soap;soft soaps;is soft soaping:V
soft-pedal;soft-pedals;is soft-pedalling:V
soften up;soften ups;is soften uping:V
soften;softens;is softenning:V
soil;soils;is soilling:V
sol-fa;sol-fas;is sol-faing:V
solder;solders;is soldering:V
sold;solds;is soldding:V
solemnify;solemnifys;is solemnifying:V
solicit;solicits;is solicitting:V
solidify;solidifys;is solidifying:V
soliloquize;soliloquizes;is soliloquizeing:V
solubilize;solubilizes;is solubilizeing:V
solvate;solvates;is solvateing:V
soothsay;soothsays;is soothsaying:V
sophisticate;sophisticates;is sophisticateing:V
sop;sops;is soping:V
sortie;sorties;is sortieing:V
sought;soughts;is soughtting:V
sound;sounds;is soundding:V
sour;sours;is souring:V
souse;souses;is souseing:V
sovietize;sovietizes;is sovietizeing:V
sown;sowns;is sownning:V
sow;sows;is sowing:V
spae;spaes;is spaeing:V
spag;spags;is spaging:V
spake;spakes;is spakeing:V
spall;spalls;is spallling:V
spancel;spancels;is spancelling:V
spangle;spangles;is spangleing:V
span;spans;is spanning:V
sparer;sparers;is sparering:V
sparest;sparests;is sparestting:V
sparge;sparges;is spargeing:V
sparkle;sparkles;is sparkleing:V
spark;sparks;is sparking:V
spar;spars;is sparing:V
spatter;spatters;is spattering:V
spat;spats;is spatting:V
spawn;spawns;is spawnning:V
speak;speaks;is speaking:V
spear;spears;is spearing:V
specify;specifys;is specifying:V
speculate;speculates;is speculateing:V
speechify;speechifys;is speechifying:V
speed up;speed ups;is speed uping:V
spellbind;spellbinds;is spellbindding:V
spell;spells;is spellling:V
spelt;spelts;is speltting:V
spend;spends;is spendding:V
spent;spents;is spentting:V
spew;spews;is spewing:V
spill;spills;is spillling:V
spilt;spilts;is spiltting:V
spin-dry;spin-drys;is spin-drying:V
spin;spins;is spinning:V
spiral;spirals;is spiralling:V
spit;spits;is spitting:V
splash out;splash outs;is splash outting:V
splashdown;splashdowns;is splashdownning:V
splash;splashs;is splashing:V
splatter;splatters;is splattering:V
splay;splays;is splaying:V
splinter;splinters;is splintering:V
splint;splints;is splintting:V
split up;split ups;is split uping:V
split;splits;is splitting:V
splotch;splotchs;is splotching:V
splurge;splurges;is splurgeing:V
splutter;splutters;is spluttering:V
spoilt;spoilts;is spoiltting:V
spoil;spoils;is spoilling:V
spoken;spokens;is spokenning:V
spoke;spokes;is spokeing:V
spoliate;spoliates;is spoliateing:V
sponge off;sponge offs;is sponge offing:V
spoof;spoofs;is spoofing:V
spool;spools;is spoolling:V
spoor;spoors;is spooring:V
spot check;spot checks;is spot checking:V
spotlight;spotlights;is spotlightting:V
spot;spots;is spotting:V
spouse;spouses;is spouseing:V
spout;spouts;is spoutting:V
sprang;sprangs;is spranging:V
spray;sprays;is spraying:V
spread-eagle;spread-eagles;is spread-eagleing:V
spread;spreads;is spreadding:V
sprig;sprigs;is spriging:V
spring-clean;spring-cleans;is spring-cleanning:V
sprinkle;sprinkles;is sprinkleing:V
sprout;sprouts;is sproutting:V
spruce up;spruce ups;is spruce uping:V
sprucest;sprucests;is sprucestting:V
sprung;sprungs;is sprunging:V
spud;spuds;is spudding:V
spue;spues;is spueing:V
spun;spuns;is spunning:V
spurn;spurns;is spurnning:V
spurt;spurts;is spurtting:V
spur;spurs;is spuring:V
sputter;sputters;is sputtering:V
spy;spys;is spying:V
square away;square aways;is square awaying:V
square dance;square dances;is square danceing:V
square up;square ups;is square uping:V
square;squares;is squareing:V
squash;squashs;is squashing:V
squat;squats;is squatting:V
squawk;squawks;is squawking:V
squeak;squeaks;is squeaking:V
squeal;squeals;is squealling:V
squeegee;squeegees;is squeegeeing:V
squeeze;squeezes;is squeezeing:V
squib;squibs;is squibing:V
squid;squids;is squidding:V
squinnies;squinniess;is squinniesing:V
squint;squints;is squintting:V
squirt;squirts;is squirtting:V
stabilize;stabilizes;is stabilizeing:V
stable;stables;is stableing:V
stablish;stablishs;is stablishing:V
stab;stabs;is stabing:V
staff;staffs;is staffing:V
stage-manage;stage-manages;is stage-manageing:V
stagger;staggers;is staggering:V
stain;stains;is stainning:V
stakeout;stakeouts;is stakeoutting:V
stale;stales;is staleing:V
stalk;stalks;is stalking:V
stall;stalls;is stallling:V
stammer;stammers;is stammering:V
stampede;stampedes;is stampedeing:V
stamp;stamps;is stamping:V
stanch;stanchs;is stanching:V
stand down;stand downs;is stand downning:V
stand to;stand tos;is stand toing:V
stand up;stand ups;is stand uping:V
standardize;standardizes;is standardizeing:V
standoff;standoffs;is standoffing:V
stand;stands;is standding:V
stang;stangs;is stanging:V
stank;stanks;is stanking:V
starboard;starboards;is starboardding:V
start in;start ins;is start inning:V
start off;start offs;is start offing:V
start up;start ups;is start uping:V
startle;startles;is startleing:V
start;starts;is startting:V
starve;starves;is starveing:V
star;stars;is staring:V
staunch;staunchs;is staunching:V
stave;staves;is staveing:V
stay out;stay outs;is stay outting:V
steady;steadys;is steadying:V
steal;steals;is stealling:V
steam up;steam ups;is steam uping:V
steam;steams;is steamming:V
steepen;steepens;is steepenning:V
steep;steeps;is steeping:V
steer;steers;is steering:V
steeve;steeves;is steeveing:V
stellify;stellifys;is stellifying:V
stem;stems;is stemming:V
stencil;stencils;is stencilling:V
step down;step downs;is step downning:V
step up;step ups;is step uping:V
step;steps;is steping:V
stet;stets;is stetting:V
stevedore;stevedores;is stevedoreing:V
steward;stewards;is stewardding:V
stew;stews;is stewing:V
stick out;stick outs;is stick outting:V
stick to;stick tos;is stick toing:V
stick-up;stick-ups;is stick-uping:V
stickybeak;stickybeaks;is stickybeaking:V
stick;sticks;is sticking:V
stiffen;stiffens;is stiffenning:V
stiletto;stilettos;is stilettoing:V
still hunt;still hunts;is still huntting:V
still;stills;is stillling:V
stink;stinks;is stinking:V
stint;stints;is stintting:V
stir up;stir ups;is stir uping:V
stir;stirs;is stiring:V
stitch;stitchs;is stitching:V
stithy;stithys;is stithying:V
stockpile;stockpiles;is stockpileing:V
stodge;stodges;is stodgeing:V
stoke up;stoke ups;is stoke uping:V
stoke;stokes;is stokeing:V
stolen;stolens;is stolenning:V
stole;stoles;is stoleing:V
stone;stones;is stoneing:V
stood;stoods;is stoodding:V
stoop;stoops;is stooping:V
stop down;stops down;is stopping down:V
stope;stopes;is stopeing:V
stopover;stopovers;is stopovering:V
stop;stops;is stoping:V
storm;storms;is stormming:V
story;storys;is storying:V
stot;stots;is stotting:V
stove;stoves;is stoveing:V
stowaway;stowaways;is stowawaying:V
straighten out;straighten outs;is straighten outting:V
straighten up;straighten ups;is straighten uping:V
straighten;straightens;is straightenning:V
strain;strains;is strainning:V
strand;strands;is strandding:V
strap;straps;is straping:V
stratify;stratifys;is stratifying:V
stream;streams;is streamming:V
strengthen;strengthens;is strengthenning:V
stretch;stretchs;is stretching:V
strew;strews;is strewing:V
stride;strides;is strideing:V
strike out;strike outs;is strike outting:V
strike up;strike ups;is strike uping:V
strike;strikes;is strikeing:V
string along;string alongs;is string alonging:V
stript;stripts;is striptting:V
strip;strips;is striping:V
strive;strives;is striveing:V
strode;strodes;is strodeing:V
stroll;strolls;is strollling:V
strook;strooks;is strooking:V
strop;strops;is stroping:V
strove;stroves;is stroveing:V
strown;strowns;is strownning:V
strow;strows;is strowing:V
stroy;stroys;is stroying:V
struck;strucks;is strucking:V
structure;structures;is structureing:V
strum;strums;is strumming:V
strung;strungs;is strunging:V
strut;struts;is strutting:V
stub;stubs;is stubing:V
stucco;stuccos;is stuccoing:V
stuck;stucks;is stucking:V
study;studys;is studying:V
stud;studs;is studding:V
stuff;stuffs;is stuffing:V
stultify;stultifys;is stultifying:V
stump up;stump ups;is stump uping:V
stum;stums;is stumming:V
stung;stungs;is stunging:V
stunk;stunks;is stunking:V
stun;stuns;is stunning:V
stupefy;stupefys;is stupefying:V
stutter;stutters;is stuttering:V
style;styles;is styleing:V
stymie;stymies;is stymieing:V
sty;stys;is stying:V
subconnect;subconnects;is subconnectting:V
subcontract;subcontracts;is subcontractting:V
subculture;subcultures;is subcultureing:V
subdivide;subdivides;is subdivideing:V
subdue;subdues;is subdueing:V
subedit;subedits;is subeditting:V
subinfer;subinfers;is subinfering:V
subinfeudate;subinfeudates;is subinfeudateing:V
subirrigate;subirrigates;is subirrigateing:V
subjectify;subjectifys;is subjectifying:V
subject;subjects;is subjectting:V
sublapsar;sublapsars;is sublapsaring:V
sublease;subleases;is subleaseing:V
sublet;sublets;is subletting:V
sublimate;sublimates;is sublimateing:V
submerge;submerges;is submergeing:V
submit;submits;is submitting:V
subordinate;subordinates;is subordinateing:V
subplow;subplows;is subplowing:V
subpoena;subpoenas;is subpoenaing:V
subscribe;subscribes;is subscribeing:V
subsist;subsists;is subsistting:V
subsort;subsorts;is subsortting:V
subspecialize;subspecializes;is subspecializeing:V
substantialize;substantializes;is substantializeing:V
substitute;substitutes;is substituteing:V
subtotal;subtotals;is subtotalling:V
subtract;subtracts;is subtractting:V
sub;subs;is subing:V
succuss;succusss;is succussing:V
suck in;suck ins;is suck inning:V
suckle;suckles;is suckleing:V
suck;sucks;is sucking:V
sue;sues;is sueing:V
suffer;suffers;is suffering:V
suffice;suffices;is sufficeing:V
suffix;suffixs;is suffixing:V
sufflate;sufflates;is sufflateing:V
suffocate;suffocates;is suffocateing:V
suit;suits;is suitting:V
sullies;sulliess;is sulliesing:V
sully;sullys;is sullying:V
sulphurate;sulphurates;is sulphurateing:V
sulphuret;sulphurets;is sulphuretting:V
sum up;sum ups;is sum uping:V
summersault;summersaults;is summersaultting:V
summons;summonss;is summonsing:V
sum;sums;is summing:V
sunburnt;sunburnts;is sunburntting:V
sunder;sunders;is sundering:V
sung;sungs;is sunging:V
sunken;sunkens;is sunkenning:V
sunk;sunks;is sunking:V
sun;suns;is sunning:V
superastonish;superastonishs;is superastonishing:V
superbuild;superbuilds;is superbuilding:V
supercool;supercools;is supercooling:V
superexpand;superexpands;is superexpanding:V
superextend;superextends;is superextending:V
superfinance;superfinances;is superfinancing:V
superfit;superfits;is superfitting:V
superfuse;superfuses;is superfuseing:V
superguarantee;superguarantees;is superguaranteeing:V
superintend;superintends;is superintendding:V
superordinate;superordinates;is superordinateing:V
superproduce;superproduces;is superproduceing:V
superqualify;superqualifys;is superqualifying:V
superquote;superquotes;is superquoteing:V
supersolicit;supersolicits;is supersolicitting:V
supertrain;supertrains;is supertrainning:V
supinate;supinates;is supinateing:V
supplement;supplements;is supplementting:V
supple;supples;is suppleing:V
supplicate;supplicates;is supplicateing:V
supplies;suppliess;is suppliesing:V
supply;supplys;is supplying:V
sup;sups;is suping:V
surcease;surceases;is surceaseing:V
surcharge;surcharges;is surchargeing:V
surcingle;surcingles;is surcingleing:V
surface;surfaces;is surfaceing:V
surmise;surmises;is surmiseing:V
surrogate;surrogates;is surrogateing:V
survey;surveys;is surveying:V
suspect;suspects;is suspectting:V
suspire;suspires;is suspireing:V
swab;swabs;is swabing:V
swaggi;swaggis;is swaggiing:V
swag;swags;is swaging:V
swallow;swallows;is swallowing:V
swamp;swamps;is swamping:V
swam;swams;is swamming:V
swang;swangs;is swanging:V
swan;swans;is swanning:V
